id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5842147866884867,0.9936973316494514,0.016156166791915894
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.4990774095058441,0.9988154122897823,0.009268149733543396
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6485684911410013,0.9926198821440803,0.005920581519603729
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.4114871422449748,1.000000000000002,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6211938261985779,0.9953487062536494,0.006503298878669739
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.37932150562604267,0.9980657536988893,0.010548559948801994
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6838811039924622,0.9956951462726849,0.005166324786841869
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.488564928372701,0.9999999999999997,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6126169164975485,0.9939727161814715,0.011915761977434158
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5904908875624338,0.998075083434321,0.0032496119383722544
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.4402697781721751,0.9981738579066526,0.00399451470002532
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5742954115072886,0.9969674891954956,0.006775842513889074
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.510998547077179,1.0000000000000002,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.47717825571695965,0.9922398469340146,0.01144779659807682
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5134050846099854,0.9999999999999993,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.4808036684989929,0.9967555907863683,0.01571512222290039
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.3629983564217885,0.9997616031445461,1.3360779121285304e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.3842489421367645,1.0000000000000009,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6207819581031799,0.9974056197576503,0.006106700282543898
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5432803233464559,1.0,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.5427758793036143,1.0000000000000038,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5583420693874359,0.988770185581035,0.025602154433727264
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.5895812710126241,0.9939658720245812,0.008174590766429901
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5196208655834198,0.9978019215616716,0.004384225700050592
