id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5581035415331522,0.9937981421172832,0.014896677806973457
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.6118753353754679,0.9944296499227152,0.01175268180668354
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.5137395262718201,1.0000000000000002,0.0
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.45687609910964966,1.0000000000000013,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.4893574019273122,0.9969586518490865,0.005468212533742189
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.3691710929075877,0.9979345860019029,0.010543296113610268
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.540234645207723,1.0000000000000009,0.0
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.4758394757906596,0.9976752074125661,0.0062399073503911495
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.5145666897296906,0.9999999999999991,0.0
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.4827626844247182,0.9974285898481222,0.009584621526300907
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.5166807671387991,1.0000000000000027,0.0
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.4476536214351654,0.9995733145523138,0.0008538534166291356
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.5081387261549631,0.9983349885978509,0.002199978567659855
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.5320438841978709,0.9983934484328119,0.0021451390348374844
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5269357760747274,1.0000000000000004,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.47910253206888836,0.9999999999999987,0.0
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.37625744938850403,0.9997678725428073,1.0150326488655992e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.40084873636563617,0.9957916307872726,0.012187766842544079
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6947167913118998,0.9978592731529431,0.0033836476504802704
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5089565813541412,1.0,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.47252265612284344,0.9999999999999983,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.4738421142101288,0.9999999999999996,0.0
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.5184128880500793,0.9958855944214625,0.01355874165892601
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.4821674625078837,0.9976459588399238,0.0051291706040501595
