id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5700765947500864,0.99354998714185,0.015889296308159828
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.5492475728193918,0.9988351844454951,0.007312307134270668
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6216923793156942,0.9924769147814245,0.006027365103363991
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.42423948645591736,0.9999999999999988,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6241843501726786,0.995341969703401,0.006100617349147797
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.3286263346672058,0.9979139406441758,0.011830301955342293
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6782965660095215,0.9949555171812293,0.005963955074548721
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.4591487447420756,1.0,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.5766680836677551,0.9936141527524326,0.012705874629318714
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5734248757362366,0.998042728627858,0.003614224959164858
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.4549633860588074,0.9982029931082377,0.003965920303016901
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5962760249773661,0.997014418392476,0.005818521603941917
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.46064187089602154,0.9999999999999999,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.3761211683352788,0.9957603914026092,0.007284870371222496
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5263214111328125,0.9999999999999981,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.5128190418084463,0.9981479531205965,0.005628746002912521
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.3790489335854848,0.9997989260345557,3.481014573480934e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.4351527194182078,0.9999999999999996,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6261226137479147,0.9942612976888505,0.01566638983786106
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.553033729394277,0.9999999999999997,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.4445299406846364,1.000000000000003,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.616938054561615,0.9884357100538528,0.026370465755462646
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.5670285026232401,0.993869043928775,0.008480996824800968
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.4993590712547302,0.9979348041761241,0.004329589195549488
