id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim
travel_iceland,1.0,0.6666666666666666,0.0,0.9333333333333332,0.125,1.0,0.585272212823232,0.999999999999999
movie_solar,1.0,0.3333333333333333,0.0,0.8333333333333334,0.25,1.0,0.5743332306543986,1.000000000000002
coffee_roast,1.0,0.3333333333333333,0.0,1.0,0.0,1.0,0.6180824240048727,1.0
museum_bauhaus,1.0,0.6666666666666666,0.0,0.8333333333333334,0.1111111111111111,1.0,0.4566561182339986,0.9999999999999998
concert_neon,1.0,1.0,0.0,1.0,0.2222222222222222,1.0,0.5764721433321635,0.9999999999999997
book_orbit,1.0,0.6666666666666666,0.0,1.0,0.14285714285714285,1.0,0.4509221911430359,0.9999999999999992
food_ramen,1.0,1.0,0.0,1.0,0.14285714285714285,1.0,0.6661282777786255,1.000000000000001
tech_summit,1.0,0.0,0.0,0.8888888888888888,0.14285714285714285,1.0,0.5382969975471497,1.0
fitness_launch,1.0,1.0,0.0,0.8333333333333334,0.0,1.0,0.5785788695017496,1.0
education_space,1.0,0.6666666666666666,0.0,0.7777777777777777,0.125,1.0,0.5359460612138113,1.0000000000000002
skincare_lumina,1.0,1.0,0.0,1.0,0.0,1.0,0.6097047130266825,1.0000000000000013
jazz_blue_note,1.0,0.3333333333333333,0.0,0.8888888888888888,0.0,1.0,0.5409903128941854,1.0
farmers_market,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.5945101380348206,1.0
architecture_lecture,1.0,1.0,0.0,1.0,0.14285714285714285,1.0,0.6159544189771017,1.0000000000000009
bike_commute,1.0,1.0,0.0,1.0,0.0,1.0,0.5867986679077148,1.0000000000000004
tea_ceremony,1.0,0.6666666666666666,0.0,1.0,0.0,1.0,0.6171076893806458,1.0000000000000004
album_static,1.0,1.0,0.0,0.8333333333333334,0.0,1.0,0.47797897458076477,1.0
climate_workshop,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.5302953918774923,0.9999999999999994
game_launch,1.0,0.6666666666666666,0.0,1.0,0.125,1.0,0.6792961160341898,1.0000000000000004
fashion_atelier,1.0,0.6666666666666666,0.0,0.8333333333333334,0.0,1.0,0.6248141328493754,1.0000000000000027
photo_exhibit,1.0,0.6666666666666666,0.0,0.5,0.16666666666666666,1.0,0.46740631262461346,0.9999999999999997
charity_run,1.0,0.6666666666666666,0.0,0.6666666666666666,0.0,1.0,0.6038877964019775,1.0000000000000027
boardgame_night,1.0,1.0,0.0,0.8888888888888888,0.125,1.0,0.5956900318463644,1.0
cookbook_cover,1.0,1.0,0.0,0.6666666666666666,0.0,1.0,0.5379435022672018,0.9999999999999998
