id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5647919774055481,0.9936769748555747,0.01562683843076229
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.45629124840100604,0.9997395331586243,0.000179983617272228
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6326431234677633,0.9923226104983797,0.006680043879896402
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.44927963614463806,0.9999999999999952,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6575620373090109,0.9957505428921096,0.005181595217436552
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.3212492763996124,0.9980471414917579,0.012687635608017445
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6876500050226847,0.9956259417783565,0.005071084946393967
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.42398979266484577,1.0000000000000002,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6338355342547098,0.9936933404282527,0.012855630367994308
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5683331290880839,0.9978440620808179,0.002983755199238658
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.41510335604349774,0.9997106452532805,0.0
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.6162281433741251,0.9938815857642075,0.0168455820530653
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.4346606433391571,1.0,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.44183628757794696,0.9959549601683613,0.007308061234652996
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5256426433722178,1.0000000000000013,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.5190904438495636,0.9967014812307534,0.01685892418026924
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.35959463318188983,0.999740311906078,1.6906413293327205e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.35813652475674945,1.0000000000000007,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6200010379155477,0.9943666635284754,0.01342369057238102
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5334604382514954,1.0000000000000002,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.4544050097465515,1.0000000000000009,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5568092962106069,0.9929167524781766,0.021353110671043396
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.617647111415863,0.993936307316229,0.007679708302021027
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.4817489484945933,0.9977646941405797,0.003967741969972849
