id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5625752409299215,0.9941382496667283,0.014677375555038452
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.5114673773447672,0.9989004997348159,0.007282637525349855
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6410544713338217,0.9922954297841788,0.0065629673190414906
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.4467839300632477,1.0000000000000022,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6425201892852783,0.9952817772848006,0.006355816498398781
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.3720944623152415,1.0000000000000007,0.0
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6947242021560669,0.9956206141474521,0.004689512774348259
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.3915310502052307,1.0000000000000002,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6056605478127798,0.9938166595981718,0.011988630518317223
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5825667480627695,0.9978760050607635,0.003835489507764578
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.49698076645533246,0.9982484037682146,0.003134189872071147
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5815367301305135,0.9967268845720537,0.005913412198424339
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.48402026295661926,0.9999999999999999,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.4603559573491414,0.9955424535160776,0.007673165760934353
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.4842911958694458,1.0,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.5243979295094808,0.9967187069205619,0.016666242852807045
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.3810156583786011,0.9998092150600216,1.5377452655229717e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.3619311451911926,0.9999999999999992,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6150547862052917,0.997577918069597,0.005804660730063915
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.546412984530131,0.9999999999999999,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.4266728063424428,1.0000000000000007,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5803933640321096,0.9885313606058913,0.025140289217233658
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.5792367657025655,0.9944876613033883,0.008547654375433922
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5077787935733795,0.9977410723039896,0.004553884267807007
