id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5618987580140432,0.9935429274659122,0.01605461910367012
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.4360717336336772,0.9997645029475434,0.0001695748360361904
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6574953397115072,0.9944083328588235,0.004787205718457699
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.49521778027216595,1.0000000000000016,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6076102455457052,0.9960701054884142,0.0055129025131464005
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.36557791630427044,0.9978506443918082,0.011339196935296059
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6747720638910929,0.9949057348656648,0.005793143529444933
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.45540780822436017,1.0,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6212201515833536,0.993530783011491,0.012794355861842632
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.599975049495697,0.9979479422583735,0.00362867908552289
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.42776164412498474,0.9981801455839522,0.004364543594419956
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5796559453010559,0.9974028642868754,0.0035012997686862946
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.4579516152540843,1.0000000000000002,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.40485191345214844,0.9959247380673687,0.006475853733718395
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5284952720006307,0.9999999999999997,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.4578731755415599,0.9981590230167026,0.005140696652233601
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.3903375466664632,0.999762473806493,3.3948868804145604e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.361408789952596,0.9999999999999988,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6201809843381246,0.9942340951003815,0.01414202805608511
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5458027124404907,0.9999999999999997,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.4734727640946706,1.0000000000000016,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.6193616588910421,0.9918629180915255,0.026755984872579575
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.6263217329978943,0.9937163734722447,0.009372565895318985
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5065136055151621,0.9979882748406381,0.0033539817668497562
