id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5658263663450877,0.9936750800371636,0.015850307419896126
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.5240790744622549,0.9988440135173923,0.006829108577221632
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6405748923619589,0.9922962614197781,0.006814213469624519
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.41539132595062256,0.9999999999999997,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6032190720240275,0.9945126835847111,0.008467257022857666
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.37818578879038495,0.9979758018085771,0.010553525760769844
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.68180779616038,0.9950360971220099,0.006105444394052029
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.4522152245044708,1.0,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.5892838537693024,0.989594303077566,0.017269868403673172
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5754637022813162,0.9979479744985984,0.004001316614449024
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.435103178024292,0.9983041097468125,0.003170190379023552
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5838562746842703,0.9973466081406896,0.004682823549956083
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.44704896211624146,1.0000000000000002,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.47362444798151654,0.9921775892920738,0.010684845969080925
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5266809662183126,0.9999999999999997,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.49025851488113403,0.9967230586813395,0.016115978360176086
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.3878980378309886,0.9997498231462222,8.445409912383184e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.34585156043370563,1.0000000000000004,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6096957325935364,0.9939837112431477,0.016265984624624252
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5398218234380087,0.9999999999999997,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.46658719579378766,1.0000000000000056,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5765428642431895,0.992820655241968,0.021633431315422058
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.6132808923721313,0.9937095358687004,0.008451946079730988
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5546730955441793,0.9977204901492328,0.004557153210043907
