id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5719236930211385,0.9939690149564437,0.01465548388659954
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.4970892071723938,0.9997160967288553,0.000144451143569313
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6320703228314718,0.9951926229792531,0.0035311724059283733
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.41112667322158813,0.9999999999999986,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6726677616437277,0.9955680844754423,0.004819224588572979
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.3520153909921646,1.0000000000000009,0.0
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6835964322090149,0.9956110044712476,0.005108470097184181
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.4809989233811696,1.0000000000000016,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.5956968466440836,0.9897954278182791,0.017404425889253616
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5623908638954163,0.9978182618905587,0.004517149180173874
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.4487031400203705,0.9982520943827207,0.0040884180925786495
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.587873379389445,0.997563837385071,0.003907214850187302
farmers_market,1.0,0.0,nan,0.0,0.0,0.3333333333333333,0.4795089264710744,0.9999999999999993,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.4898160795370738,0.9920812567161563,0.011151361279189587
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.4833490550518036,0.9999999999999997,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.4792959789435069,0.9968276030513138,0.015655482187867165
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.37807950377464294,0.9998205930162435,1.1011734386556782e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.35820892949899036,0.9999999999999989,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6099717418352762,0.994922667450425,0.01282503455877304
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5446548064549764,0.9999999999999994,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.5226231018702189,1.0000000000000042,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5907954474290212,0.993094594217578,0.020474690943956375
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.6355136831601461,0.9934957766576833,0.008982136845588684
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.4950085977713267,0.9981335950480441,0.0023246787022799253
