id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5859846274058024,0.9943173696823046,0.014187734574079514
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.4749801258246104,0.9996948466258712,0.00020863140525761992
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6563805341720581,0.9949228921650783,0.005380801856517792
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.43027763565381366,0.9999999999999983,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.624271810054779,0.9952902181088493,0.006642737425863743
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.3702058990796407,0.9979258726367456,0.010490797460079193
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6661596099535624,0.9949790079961267,0.0056175896897912025
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.4632643461227417,0.9999999999999992,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.602000484863917,0.9935791205978327,0.012931949459016323
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5806010166803995,0.9980170457872822,0.0026609133929014206
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.4317874113718669,0.9981062658964275,0.004708312451839447
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5864240527153015,0.9969700427299399,0.003967097029089928
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.46920470396677655,1.0000000000000002,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.46791385610898334,0.9956637652519629,0.0072148884646594524
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5149048864841461,1.0000000000000002,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.5331252614657084,0.996766706973793,0.015927782282233238
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.37031087279319763,0.9997329034676098,8.674188393342774e-06
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.35765761137008667,0.9999999999999997,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6176953514417013,0.9939422778300303,0.0154082290828228
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5170606374740601,1.0000000000000004,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.45065540075302124,0.999999999999999,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5670038461685181,0.9894555343572626,0.02029038965702057
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.5654823382695516,0.994676519541372,0.007741427049040794
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5346961418787638,0.9977607728307235,0.003479424864053726
