id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5808934470017751,0.9940046713148736,0.015233615413308144
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.5730771621068319,0.9988594135100803,0.006491475738584995
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6551095247268677,0.9937766547672326,0.0057758064940571785
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.4016996721426646,0.9999999999999988,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6028748154640198,0.9960833465940184,0.005002881400287151
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.37038395802179974,0.9979582703059282,0.010542068630456924
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6895920832951864,0.9949046422484803,0.005714189261198044
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.41435495018959045,1.0000000000000009,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6409857273101807,0.988964950989726,0.01835739053785801
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5904510219891866,0.9977602298081314,0.004040940664708614
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.4070318241914113,0.9981562041542915,0.0036448216997087
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.576190580924352,0.996925815470093,0.006113895680755377
farmers_market,1.0,0.0,nan,0.0,0.0,0.3333333333333333,0.4834992786248525,0.9999999999999997,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.43039747575918835,0.9922881784945163,0.01083337515592575
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.49900362888971966,1.0000000000000002,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.4650121827920278,0.9967267077006934,0.017939388751983643
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.3695475955804189,0.9997136500634569,9.942305041477084e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.3538476328055064,1.0000000000000002,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6560351451237997,0.9942846155762922,0.014853838831186295
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5361078381538391,0.9999999999999999,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.46418192982673645,1.000000000000003,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5697245498498281,0.9888268021511856,0.02316381223499775
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.6279810468355814,0.9936781005539121,0.008317295461893082
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5016991396745046,0.9977314520651787,0.004290910437703133
