id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5791714588801066,1.0000000000000004
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.5587536791960398,1.0000000000000022
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.5411504407723745,0.9999999999999989
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.5229412317276001,0.999999999999999
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.5620292822519938,1.0000000000000104
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.4230428636074066,0.9999999999999997
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.609239935874939,1.0
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.5308843851089478,0.9999999999999997
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.544185072183609,1.0000000000000004
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.47449902693430585,1.0
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.586311419804891,0.9999999999999993
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5009333988030752,0.9999997216873067
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.5954858859380087,1.0000000000000002
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.5244540174802145,1.0
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5765274365743002,1.0000000000000013
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.6233456333478292,1.0000000000000002
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.4498401979605357,1.000000000000001
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.4523337185382843,1.0000000000000004
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6192857623100281,1.0000000000000013
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5979881485303243,0.9999999999999992
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.6507969299952189,1.000000000000002
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.6416509747505188,0.9999999999999997
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.601366400718689,1.0000000000000002
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5088194906711578,1.0
