id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5671749512354533,0.9937083664204946,0.015524398535490036
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.46449947357177734,0.9997006277294098,0.00016574586334172636
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6189409693082174,0.9922559992969734,0.006781032308936119
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.42293182015419006,0.9999999999999968,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6570357879002889,0.9956490087064074,0.004782498348504305
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.35510386029879254,0.9979412993736445,0.010680528357625008
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.693268875281016,0.9955589281452033,0.005016910843551159
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.4513321320215861,0.9999999999999999,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.5961304505666097,0.9888996711727387,0.01852106675505638
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.589926520983378,0.9978883716951596,0.004442225210368633
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.4066035548845927,0.998119139288517,0.0040439129807055
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.6092442274093628,0.9935799493067299,0.01572560891509056
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.46878548463185626,1.0000000000000004,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.4680875539779663,0.9921534454567911,0.010718758217990398
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.506414383649826,1.0000000000000002,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.4780966540177663,0.9967860021100544,0.017590802162885666
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.3880402942498525,0.9998030385060921,1.5514327969867736e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.3409539461135864,1.0,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6202172239621481,0.994425864740548,0.014947677031159401
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5546153585116068,0.9999999999999992,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.4591636558373769,1.0000000000000018,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5907013813654581,0.9885216661742358,0.020474884659051895
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.6247522234916687,0.9940396571037784,0.007614105474203825
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5031949877738953,0.9977731737594256,0.0046272436156868935
