id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5581035415331522,0.9937981421172832,0.014896677806973457
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.44415661692619324,0.9997108120059194,0.00023730838438495994
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6280196905136108,0.9952892192028748,0.003937587607651949
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.45687609910964966,1.0000000000000013,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6543670892715454,0.9958395697215825,0.00503847049549222
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.3683135708173116,0.9979240514010386,0.010846979916095734
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.701428234577179,0.9948438704584163,0.0058724163100123405
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.41841978828112286,0.9999999999999981,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6299377282460531,0.9932615123120624,0.017099464312195778
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5932435592015585,0.998058002257143,0.003178994171321392
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.44579171140988666,0.9981053995654872,0.004180298186838627
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5765042702356974,0.997053069738927,0.0036914122756570578
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.4783306419849396,0.9999999999999999,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.42991715172926587,0.9961023623108679,0.005972621031105518
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5269357760747274,1.0000000000000004,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.4706832567850749,0.9978653881412697,0.01217015739530325
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.37625744938850403,0.9997678725428073,1.0150326488655992e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.34917643666267395,1.0,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6300412019093832,0.9975115394123847,0.005405650474131107
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.537837972243627,0.9999999999999999,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.47252265612284344,0.9999999999999983,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.57581893603007,0.9919777103104735,0.019067607820034027
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.586311916510264,0.9903554478647094,0.011935417540371418
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.48349787791570026,0.9978011067050094,0.005325738340616226
