id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5760542651017507,0.9936775114429007,0.015824558213353157
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.48017260432243347,0.9989355231658531,0.00696189422160387
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.664877454439799,0.9939259909144588,0.005811985116451979
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.4848286807537079,0.9999999999999979,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.6321970522403717,0.9940542350107388,0.008072962984442711
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.37398431698481244,0.9979109574217951,0.010850031860172749
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.6904536088307699,0.9955789266958452,0.005263302009552717
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.44003450870513916,1.0000000000000002,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6278976102670034,0.9937467181811709,0.012570062652230263
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5547117491563162,0.9979252220413936,0.0034985425882041454
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.47267990310986835,0.9981991158587452,0.003913396038115025
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.5904236137866974,0.9973288579370564,0.003503726329654455
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.4848400453726451,1.0000000000000002,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.45327435930569965,0.9962529199259613,0.007018950767815113
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.49529947837193805,1.0,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.4681163430213928,0.9966974042773101,0.017727188766002655
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.3648010492324829,0.9997337878424085,1.851174602052197e-05
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.3347756067911784,0.9999999999999988,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6283279856046041,0.9940286037021131,0.0159840676933527
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5521201690038046,1.0000000000000007,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.4456821382045746,1.0000000000000027,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.6215852300326029,0.991553277470535,0.02054605633020401
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.6040157675743103,0.9943372724591504,0.0078738359734416
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.4483618636926015,0.9978183864969002,0.003779074875637889
