id,rendered_text_exact_ours,ocr_exact_ours,ocr_exact_baseline,ocr_word_recall_ours,ocr_word_recall_baseline,layout_validity,contrast_proxy,edit_bg_ssim,edit_bg_lpips
travel_iceland,1.0,0.0,nan,0.0,0.0,1.0,0.5666075845559438,0.9936388483097279,0.01620456390082836
movie_solar,1.0,0.0,nan,0.0,0.0,1.0,0.4792707562446594,0.9996164494268082,0.0003548278473317623
coffee_roast,1.0,0.0,nan,0.0,0.0,1.0,0.6270132859547933,0.9923903084982826,0.006202729884535074
museum_bauhaus,1.0,0.0,nan,0.0,0.0,1.0,0.43961070974667865,0.9999999999999994,0.0
concert_neon,1.0,0.0,nan,0.0,0.0,1.0,0.623761514822642,0.9954387869457471,0.007175355218350887
book_orbit,1.0,0.0,nan,0.0,0.0,1.0,0.3216561774412791,0.9980964219114877,0.0103529691696167
food_ramen,1.0,0.0,nan,0.0,0.0,1.0,0.686648408571879,0.995620632649709,0.005059854593127966
tech_summit,1.0,0.0,nan,0.0,0.0,1.0,0.5015842715899149,0.9999999999999997,0.0
fitness_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6174071828524271,0.989081979263584,0.019493654370307922
education_space,1.0,0.0,nan,0.0,0.0,1.0,0.5648000836372375,0.9980158618178031,0.004524103365838528
skincare_lumina,1.0,0.0,nan,0.0,0.0,1.0,0.4082983136177063,0.9982188152995387,0.004094446077942848
jazz_blue_note,1.0,0.0,nan,0.0,0.0,1.0,0.6115895509719849,0.9937162968868222,0.015095393173396587
farmers_market,1.0,0.0,nan,0.0,0.0,1.0,0.502791146437327,0.9999999999999993,0.0
architecture_lecture,1.0,0.0,nan,0.0,0.0,1.0,0.45087045927842456,0.9923796206954626,0.011389601044356823
bike_commute,1.0,0.0,nan,0.0,0.0,1.0,0.5428241491317749,0.999999999999998,0.0
tea_ceremony,1.0,0.0,nan,0.0,0.0,1.0,0.4377511441707611,0.9993316606691036,0.0012672943994402885
album_static,1.0,0.0,nan,0.0,0.0,1.0,0.39979612827301025,0.9998607986497604,6.960307473491412e-06
climate_workshop,1.0,0.0,nan,0.0,0.0,1.0,0.35513169566790265,0.9999999999999997,0.0
game_launch,1.0,0.0,nan,0.0,0.0,1.0,0.6110137502352396,0.9946637203616868,0.013890478760004044
fashion_atelier,1.0,0.0,nan,0.0,0.0,1.0,0.5308499137560526,1.0,0.0
photo_exhibit,1.0,0.0,nan,0.0,0.0,1.0,0.44633544484774273,0.9999999999999986,0.0
charity_run,1.0,0.0,nan,0.0,0.0,1.0,0.5350701411565145,0.9922848296239744,0.023775622248649597
boardgame_night,1.0,0.0,nan,0.0,0.0,1.0,0.6280440886815389,0.9936714973514043,0.00871913693845272
cookbook_cover,1.0,0.0,nan,0.0,0.0,1.0,0.5164434015750885,0.9978202079226448,0.005074283108115196
